Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.032085   894.975404   1845.307645   3020.119818   4061.390473
0.038335   867.991239   1722.814886   2473.220402   3931.289023
0.044585   763.056544   1817.342438   2683.515827   3949.634608
0.050835   733.315975   1789.782845   2862.558689   3877.721436
0.057085   803.948684   1694.933794   3377.992895   3881.763176
0.063335   583.270750   1268.772117   2692.678777   3916.622980
0.069585   663.528046   1264.676931   2691.856629   3944.457730
0.075835   665.423816   1180.320946   2724.957927   3937.822422
0.082085   697.944162   1135.960844   2933.227697   3937.713637
0.088335   708.462585   1216.545938   2941.897603   3187.105509
0.094585   722.076305   1249.145960   2666.577954   3682.055227
0.100835   710.553311   1231.792028   2699.824833   3627.880820
0.107085   655.987036   1226.859379   2824.619116   3594.339474
0.113335   615.862764   1232.813365   2764.402037   3479.452626
0.119585   616.628929   1219.933600   2851.794601   3577.926167
0.125835   650.364818   1221.908997   2934.622142   3947.926962
0.132085   700.565449   1270.458170   2941.401160   3931.994858
0.138335   674.737402   1260.922434   2931.922300   3960.086767
0.144585   676.432218   1239.524467   2914.831174   3986.916438
0.150835   664.529630   1211.933939   2922.808747   3963.712888
0.157085   665.549149   1196.430157   2828.956801   3976.930626
0.163335   665.262188   1168.507059   2754.793221   4001.223771
0.169585   702.640885   1226.944895   2930.334063   4044.768303
0.175835   716.956343   1243.356765   2943.927701   4028.837776
0.182085   646.162442   1205.887511   2918.385527   4034.237575
0.188335   621.270885   1207.754556   2861.479625   4115.106197
0.194585   646.197810   1225.239145   2856.897126   4236.056597
0.200835   648.236807   1219.400653   2881.852340   4152.569216
0.207085   668.360337   1229.675302   2884.375500   4145.165409
0.213335   706.607510   1253.009563   2895.931714   4139.135494
0.219585   746.595471   1268.353746   2846.311909   4050.145057
0.225835   755.418134   1276.659486   2852.333926   4056.140568
0.232085   689.841908   1277.928216   2859.121987   4089.127424
0.238335   733.733413   1311.641014   2810.881673   4035.943188
0.244585   781.100690   1333.251521   2806.234897   3953.094142
0.250835   760.683905   1319.975116   2815.334567   4050.046332
0.257085   777.735285   1340.191152   2806.391923   4026.042214
0.263335   790.550118   1335.942018   2779.517798   4029.923299
0.269585   774.408895   1331.001769   2844.866379   4049.734441
0.275835   769.303851   1334.770616   2887.523335   4023.954172
0.282085   762.684109   1337.461707   2883.183439   3976.627240
0.288335   766.708705   1330.311505   2896.636414   4006.085264
0.294585   766.647294   1335.538548   2890.111324   4102.908704
0.300835   699.179538   1314.643521   2995.679804   4079.262019
0.307085   590.338142   1283.298048   2977.326398   4085.316714
0.313335   703.307649   1333.969732   2965.776994   4077.755289
