Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.163071   842.558709   1486.156456   2744.702201   3611.429004
0.169321   938.937446   1470.078700   2600.879954   3566.345556
0.175571   1044.253382   1506.554530   2493.267985   3677.307531
0.181821   896.179512   1687.871970   2790.564820   3519.143642
0.188071   899.078135   1645.386267   2640.412775   3813.557014
0.194321   970.099548   1608.027164   2519.208319   3849.889563
0.200571   899.785241   1563.705988   2590.537124   3645.290760
0.206821   778.353110   1588.284440   2653.287249   3680.970416
0.213071   662.367230   1554.605360   2459.261774   3615.038461
0.219321   692.052858   1140.632611   2508.723069   3699.220738
0.225571   675.399905   1069.758170   2602.946784   3628.498659
0.231821   677.751354   1090.820184   2560.084193   3536.856140
0.238071   663.244967   1074.537763   2536.571464   3559.384644
0.244321   659.934422   1247.264604   2977.507812   3708.323154
0.250571   544.413905   1226.588579   2972.927249   3724.056734
0.256821   445.208980   1172.115582   2757.063486   3692.390765
0.263071   766.062726   1173.123494   2855.748524   3712.113629
0.269321   775.477776   1179.023235   2864.593049   3297.059147
0.275571   752.639337   1167.110376   2896.842819   2974.997269
0.281821   794.559058   1162.176312   2883.667107   3322.008083
0.288071   843.801667   1190.565660   2857.789772   3701.403381
0.294321   863.398433   1205.828695   2847.176738   3726.390910
0.300571   877.201621   1224.793087   2850.509874   3727.149187
0.306821   859.269888   1225.055590   2891.545699   3714.652607
0.313071   843.344100   1202.689146   2918.610673   3787.830542
0.319321   843.971423   1204.337822   2928.318481   3799.745788
0.325571   850.341740   1204.655003   2924.257371   3805.265791
0.331821   856.550451   1217.041805   2958.630977   3800.460339
0.338071   846.514852   1232.209786   2934.040257   3770.443175
0.344321   839.016587   1237.416076   2924.619772   3791.290914
0.350571   834.335226   1226.290138   2941.831545   3774.691299
0.356821   832.730666   1230.950246   2913.601926   3778.091907
0.363071   831.041251   1235.139014   2896.132402   3821.349304
0.369321   831.810474   1242.228943   2911.003149   3808.037857
0.375571   827.642010   1234.900993   2914.663906   3803.218584
0.381821   820.379866   1226.105518   2930.406144   3775.759609
0.388071   814.755248   1217.465882   2944.290152   3773.930232
0.394321   810.451673   1202.195061   2944.958915   3768.365526
0.400571   808.646635   1196.906908   2961.240201   3789.766196
0.406821   802.179969   1210.834621   2948.559882   3824.286886
0.413071   793.111961   1208.552246   2934.140778   3825.990132
0.419321   793.919279   1193.411783   2913.502559   3836.815110
0.425571   782.342100   1177.257822   2958.869750   3849.560958
0.431821   766.392333   1167.542608   2995.116232   3830.347700
