Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026858   954.830699   2551.594481   2932.619312   4268.140565
0.033108   921.908631   2357.617916   3367.682995   4260.178546
0.039358   260.677155   1031.725441   2884.574084   4290.091819
0.045608   297.109629   1001.281899   2759.787164   4189.841796
0.051858   349.420523   957.002855   2671.234533   3991.103180
0.058108   367.784147   911.313088   2841.149872   3785.443711
0.064358   373.325904   968.590074   2875.866857   3803.449988
0.070608   362.088017   996.530987   2757.224624   3932.023433
0.076858   358.934402   996.246072   2677.510156   3874.327502
0.083108   356.263194   983.900434   2920.531277   3761.027223
0.089358   348.742217   1004.183675   3201.605064   3352.713452
0.095608   343.536974   977.627738   2945.584411   3638.068718
0.101858   339.736844   942.777670   2995.944385   3604.866935
0.108108   341.880462   956.781658   2982.674624   3657.605710
0.114358   338.409930   957.070311   2812.024868   3630.793507
0.120608   333.084965   941.811174   3013.550671   3329.409940
0.126858   330.892953   926.745235   2951.125121   3532.075060
0.133108   331.227961   927.557011   2866.459541   3863.586783
0.139358   332.603092   930.570722   2935.852779   4285.418096
0.145608   335.844153   924.618012   2931.798726   4245.602044
0.151858   335.921777   908.031743   2882.907344   4223.073723
0.158108   333.087539   932.786382   2825.487638   3816.025215
0.164358   329.974873   954.981844   2872.179775   3998.389808
0.170608   324.691023   955.532866   2897.644104   4144.674586
0.176858   324.110501   952.207153   2863.888752   4150.536857
0.183108   322.821061   923.540044   2846.330290   4148.919648
0.189358   320.348695   908.727835   2775.610765   4179.550204
0.195608   318.998050   915.338201   2804.011876   4195.526130
0.201858   320.785927   932.404869   2867.486505   4108.529289
0.208108   316.427830   942.264214   2819.297493   4165.172151
0.214358   314.524683   937.395436   2752.512977   4137.924626
0.220608   315.241289   933.387913   2798.805759   3952.670247
0.226858   317.920585   937.141812   2801.313736   3835.155334
0.233108   315.396888   933.632798   2794.661388   3962.613269
0.239358   319.071770   929.897912   2780.833405   3793.394300
0.245608   322.039201   935.514764   2794.353375   4152.137033
0.251858   324.907102   940.284635   2779.380690   4013.825394
0.258108   329.981492   961.386903   2808.029304   4154.564930
0.264358   336.863507   965.196836   2816.852804   4031.015418
0.270608   340.443020   968.331068   2820.174065   4088.092515
0.276858   342.472832   972.616043   2822.505752   4110.839798
0.283108   343.307345   962.758933   2819.172871   4178.930668
0.289358   344.942102   979.225036   2815.441687   4040.774748
0.295608   345.684713   993.725044   2859.676933   3594.278257
0.301858   341.543196   962.885630   2705.064739   3581.758555
0.308108   339.366160   956.621301   2673.692668   3674.210511
0.314358   341.114693   973.948379   2766.852454   3815.795236
0.320608   341.382803   984.244284   2834.776977   4086.250366
0.326858   337.087319   957.477529   2834.811868   4085.511868
0.333108   333.602316   957.696843   2751.129909   3831.464816
0.339358   333.829190   956.982193   2685.559773   3680.761955
0.345608   332.711743   981.401578   2718.834641   3693.646430
0.351858   331.330139   973.543246   2760.370061   3751.129385
0.358108   332.437355   973.080830   2815.333545   3835.295093
0.364358   328.012224   965.269187   2730.363247   3687.960434
0.370608   329.757376   971.615338   2695.328339   3762.172170
0.376858   329.895495   958.094116   2691.394369   3677.675408
0.383108   330.944139   966.282973   2705.283133   3709.844641
0.389358   331.225083   957.286213   2731.255756   3744.266324
0.395608   329.740906   951.369716   2679.189040   3668.907975
0.401858   328.971855   944.578963   2741.512285   3691.411109
0.408108   326.567892   944.747823   2767.917837   3808.703319
0.414358   328.352232   965.539726   2681.474576   3685.701293
0.420608   327.910150   959.677464   2635.613876   3706.718891
0.426858   325.107579   953.733806   2577.032300   3744.357216
0.433108   327.646263   949.456807   2650.920030   3770.348430
0.439358   327.375590   952.668894   2742.965143   3880.687221
0.445608   327.700719   953.258183   2711.808115   3728.178145
0.451858   327.787009   958.299404   2661.483535   3804.047628
0.458108   334.153022   960.239468   2686.910124   3925.449194
0.464358   334.626291   948.228403   2730.541131   3969.314591
0.470608   334.515510   953.702601   2775.575876   3975.890660
0.476858   339.940440   974.340757   2742.568361   3810.571185
0.483108   339.446388   978.268180   2697.188714   3698.901157
0.489358   338.258378   963.979220   2695.955870   3766.024539
0.495608   340.947173   978.473498   2703.129435   3818.498671
0.501858   344.155235   984.872374   2781.678704   3936.734654
0.508108   348.588940   1001.394920   2807.632985   4069.175670
0.514358   348.908707   1006.221030   2753.524775   3939.951221
0.520608   351.449275   1006.896852   2778.647783   3909.385614
0.526858   352.283442   999.321808   2818.101227   3876.709024
0.533108   353.806515   1007.216807   2855.104056   3926.267150
0.539358   352.437727   1007.969452   2802.898291   3908.516005
0.545608   350.393996   1000.943417   2764.143590   3889.669065
0.551858   350.515073   1004.960302   2757.868899   3915.319566
0.558108   351.368183   1010.118152   2762.352319   3958.646826
0.564358   351.631946   1003.788844   2757.880784   3834.073115
0.570608   353.314059   998.904105   2726.247768   3799.001054
0.576858   357.517656   990.733515   2672.737547   3786.352471
0.583108   360.869076   1004.833602   2735.137197   3938.534623
0.589358   365.611462   1002.622350   2796.623452   3988.228258
0.595608   362.250037   995.905101   2760.509220   3765.771632
0.601858   361.272773   1000.609295   2752.561585   3861.992166
0.608108   363.041508   1013.231752   2826.521557   3897.527113
0.614358   362.011116   1004.067922   2782.636412   3840.237534
0.620608   361.518250   980.270053   2688.997317   3683.444894
