Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025884   588.955336   1762.911194   2665.038657   3858.040445
0.032134   963.376182   2551.209028   3785.133708   4086.792236
0.038384   369.073481   2134.871007   3030.545426   4167.040886
0.044634   284.692861   1795.804497   2922.961666   3949.813374
0.050884   268.177525   1767.744022   3016.261839   3987.910936
0.057134   267.047841   2099.573644   3336.993173   4166.349147
0.063384   269.454228   2345.132335   3370.593782   4424.565808
0.069634   269.880360   2455.619171   3559.117962   4255.611087
0.075884   250.163852   2458.182716   3648.395424   4305.955240
0.082134   226.258852   2485.678857   3593.676578   4362.867181
0.088384   224.541818   2494.599603   3522.824257   4310.865732
0.094634   221.319413   2470.661021   3507.789816   4275.173052
0.100884   222.416574   2444.890645   3503.537694   4277.701919
0.107134   228.047893   2384.231984   3549.702686   4433.672213
0.113384   225.678961   2445.309472   3666.479016   4479.368524
0.119634   225.599905   2438.334665   3657.002169   4534.614019
0.125884   227.367158   2384.749144   3606.492503   4428.397855
0.132134   227.550604   2388.691585   3529.220849   4385.318756
0.138384   225.915997   2411.307152   3430.418028   4382.270328
0.144634   223.504786   2515.962293   3493.796415   4431.183900
0.150884   222.382670   2493.284617   3535.478651   4403.067215
0.157134   222.066940   2547.789854   3522.194729   4378.281403
0.163384   223.109900   2462.747258   3478.977296   4409.922950
0.169634   228.717880   2394.993101   3479.058924   4312.782931
0.175884   232.092028   2389.602078   3525.914544   4314.243787
0.182134   232.696548   2395.839311   3503.473366   4247.466064
0.188384   233.466633   2377.673412   3445.964236   4308.618214
0.194634   236.250258   2380.019918   3486.406794   4373.559985
0.200884   236.474267   2410.124891   3494.510746   4403.222817
0.207134   237.265053   2400.326715   3456.830566   4354.739470
0.213384   238.052823   2388.503886   3508.956430   4383.292807
0.219634   237.261385   2366.607373   3541.614604   4441.025700
0.225884   242.057728   2380.656713   3505.818656   4392.655643
0.232134   240.949533   2401.840857   3560.329078   4369.338548
0.238384   243.575286   2405.681330   3615.579142   4342.654494
0.244634   237.504081   2417.859164   3580.017416   4373.689322
0.250884   234.802903   2452.294947   3637.330628   4441.523369
0.257134   235.966438   2483.209649   3586.521132   4348.542969
0.263384   236.449339   2430.561164   3538.402303   4359.390247
0.269634   238.993585   2402.573564   3543.046628   4302.093107
0.275884   238.589492   2392.397297   3489.692410   4236.437616
0.282134   236.215717   2395.135420   3487.722713   4288.435251
0.288384   237.864898   2377.967024   3523.260866   4296.535674
0.294634   243.947152   2354.402734   3468.837761   4054.536665
0.300884   239.796614   2368.113503   3482.704711   4120.928563
0.307134   240.059348   2406.762368   3586.023178   4264.816214
0.313384   247.913221   2372.387919   3474.727875   4313.465957
0.319634   247.894408   2368.876202   3451.379947   4284.787366
0.325884   249.263950   2361.888768   3478.687415   4279.243930
0.332134   248.162165   2375.697379   3512.400276   4264.586726
0.338384   249.678950   2400.750734   3526.449020   4232.548324
0.344634   249.172282   2407.480132   3535.331348   4242.499990
0.350884   250.197588   2415.144801   3518.334948   4292.923627
0.357134   249.644911   2419.962312   3535.712799   4315.322522
0.363384   253.110127   2422.537511   3578.376477   4260.688477
0.369634   251.331741   2412.545217   3526.613761   4238.220385
0.375884   252.657683   2407.528069   3472.094675   4366.590945
0.382134   253.385379   2404.437951   3508.071521   4269.337610
0.388384   255.300819   2405.116846   3489.452386   4199.300295
0.394634   254.283481   2406.160555   3488.000926   4226.710776
0.400884   252.271615   2402.046860   3484.369030   4224.735343
0.407134   254.526633   2396.017902   3530.655468   4202.503019
0.413384   257.147590   2403.412275   3562.108103   4167.796495
0.419634   257.092828   2417.353016   3562.610153   4143.574988
0.425884   256.297411   2404.158160   3572.868295   4152.696887
0.432134   253.537218   2399.158873   3546.322379   4188.425711
0.438384   257.395654   2382.043594   3547.666386   4184.493726
0.444634   256.032416   2389.972974   3511.717659   4149.188143
0.450884   251.096929   2398.068078   3561.579292   4174.737288
0.457134   253.817635   2414.833016   3637.617916   4186.473762
0.463384   252.380921   2410.109295   3599.971657   4190.487249
0.469634   248.836651   2415.823419   3576.311310   4184.271344
0.475884   251.903123   2413.798989   3562.721240   4205.730478
0.482134   251.876288   2417.336664   3520.326919   4137.950939
0.488384   250.741928   2427.462764   3545.595751   4092.662893
0.494634   251.240819   2424.663894   3536.911920   4134.022168
0.500884   250.199127   2408.504648   3539.866394   4171.035204
0.507134   257.736404   2389.463529   3496.063766   4206.384251
0.513384   261.880506   2378.797339   3503.480548   4161.006054
0.519634   256.265297   2404.513724   3485.827514   4162.752923
0.525884   250.218651   2441.994207   3491.326409   4210.133065
0.532134   245.984990   2470.811063   3485.255417   4208.625937
0.538384   245.257209   2451.567795   3473.974589   4191.050655
0.544634   247.747394   2417.587931   3532.550377   4155.781874
0.550884   244.616141   2429.217311   3586.276220   4152.846112
0.557134   249.773112   2417.884780   3541.848161   4126.158822
0.563384   254.161733   2411.223872   3516.066420   4171.114887
0.569634   245.883821   2417.260310   3505.709363   4126.043209
0.575884   250.986769   2404.428720   3504.763314   4141.646026
0.582134   251.733814   2391.454268   3492.370772   4162.633823
0.588384   256.427600   2397.410329   3488.258258   4102.425606
0.594634   252.791219   2408.295969   3503.400023   4120.025253
0.600884   249.314939   2436.916129   3540.914708   4189.254237
0.607134   248.308923   2431.047080   3538.649440   4185.792399
0.613384   255.352373   2413.866477   3475.779821   4163.119781
0.619634   263.570710   2400.686354   3492.322166   4152.754568
0.625884   264.300951   2394.997548   3511.405753   4139.947669
0.632134   259.986018   2402.300681   3513.656393   4245.467789
0.638384   255.034569   2413.819269   3545.286038   4214.315485
0.644634   254.735623   2426.518970   3568.344322   4095.568170
0.650884   258.462604   2428.943403   3552.544634   4102.693476
0.657134   260.208727   2431.367512   3523.262765   4091.880976
0.663384   264.875759   2443.408100   3538.973206   4091.440241
0.669634   263.862933   2450.168319   3515.346526   4175.693587
0.675884   260.456977   2448.317696   3515.209765   4234.229407
0.682134   259.713549   2447.274680   3549.237784   4242.652996
0.688384   262.985538   2437.719373   3595.741898   4240.638230
0.694634   262.675158   2429.312556   3584.398430   4212.919095
0.700884   258.841063   2418.437860   3528.407839   4263.048695
0.707134   261.748393   2386.059509   3479.164834   4228.237166
0.713384   264.658270   2386.724666   3456.896443   4213.188014
0.719634   254.942772   2385.282799   3434.620064   4225.310039
0.725884   243.597663   2379.595546   3472.051614   4182.123455
0.732134   246.348899   2381.891604   3493.193055   4193.771116
0.738384   253.021886   2392.334308   3463.646412   4181.769678
0.744634   255.508666   2398.512490   3472.427302   4196.679913
0.750884   249.117585   2403.067780   3500.575342   4184.833242
0.757134   248.669176   2410.767532   3481.851307   4197.708610
0.763384   250.368225   2404.428330   3464.175878   4173.953938
0.769634   250.326302   2407.482047   3469.036751   4195.531544
0.775884   253.211455   2423.752068   3485.088135   4135.487750
0.782134   254.866521   2447.768511   3506.856485   4104.751743
0.788384   253.195300   2485.784004   3583.561221   4170.262258
0.794634   254.750061   2474.976777   3601.951608   4081.250697
0.800884   253.055614   2458.402761   3566.863965   4037.854030
0.807134   254.136861   2472.781686   3505.324949   4085.692591
0.813384   250.763892   2532.304775   3601.857125   4112.373610
0.819634   255.807134   2547.070040   3563.843649   4086.765700
0.825884   266.938637   2536.501545   3553.391267   4034.953570
0.832134   268.963805   2520.776037   3470.195414   4027.752089
0.838384   270.807691   2487.129637   3462.710451   4041.735944
0.844634   265.882884   2469.972402   3493.458739   4073.400800
0.850884   262.874340   2455.740082   3487.938773   4067.190493
0.857134   265.095835   2419.631381   3473.309613   4100.459325
0.863384   261.287984   2416.118014   3481.083165   4187.287295
0.869634   259.277997   2410.706791   3482.462225   4095.320288
0.875884   252.597205   2441.166362   3500.255757   4105.461367
0.882134   248.779858   2444.120603   3524.126017   4062.551890
0.888384   251.021516   2453.277366   3541.031126   4040.891762
0.894634   252.032806   2495.173157   3553.752274   4059.352644
0.900884   252.293399   2513.971976   3606.497201   4057.299936
0.907134   255.308490   2495.542392   3576.772717   4072.236289
0.913384   257.912350   2499.191101   3531.291342   4073.529801
0.919634   254.963410   2560.471203   3486.926977   4079.714169
0.925884   248.051763   2599.835717   3497.401418   4135.932822
0.932134   248.570311   2593.722294   3517.929074   4130.791920
0.938384   246.920018   2569.088682   3520.014790   4184.937454
0.944634   245.331281   2583.592238   3499.495309   4189.625390
0.950884   249.648611   2468.497242   3516.565135   4149.944337
0.957134   253.435580   2477.346840   3453.245060   4122.695279
0.963384   248.118138   2527.940789   3448.333897   4076.444695
0.969634   245.559547   2481.237833   3424.569734   4081.333931
0.975884   240.572585   2443.353083   3421.323570   4088.400190
0.982134   237.132782   2425.613917   3449.402289   4085.165861
0.988384   236.897571   2392.010089   3471.035651   4068.700774
0.994634   236.098337   2400.925700   3566.768179   3962.813708
1.000884   236.338928   2386.364748   3424.960611   3959.375347
1.007134   238.114457   2389.052315   3438.437315   4048.976846
1.013384   238.020870   2409.204055   3465.404611   4096.275856
1.019634   236.061303   2397.193603   3490.086097   4116.661752
1.025884   237.935459   2388.854582   3520.929569   4114.378154
1.032134   240.064273   2380.215829   3443.686020   4173.954904
1.038384   242.374514   2390.144271   3362.330225   4145.059787
1.044634   241.173422   2382.240361   3407.593875   4093.434587
1.050884   240.503000   2383.004197   3456.019462   4053.657907
1.057134   242.967044   2383.981981   3491.328308   4089.951786
1.063384   242.094306   2364.401889   3533.342170   4097.588373
1.069634   238.879863   2342.384831   3478.644502   4197.730666
1.075884   236.761904   2337.724682   3462.388687   4208.196602
1.082134   234.689340   2316.837602   3433.412854   4187.118661
1.088384   231.320367   2273.035349   3410.417906   4186.968922
1.094634   230.180209   2318.932427   3379.654355   4202.064588
1.100884   225.568083   2368.698997   3337.750200   4096.950549
1.107134   224.209938   2300.676237   3340.795344   4093.557263
1.113384   223.096644   2337.718935   3380.455731   4087.293790
1.119634   221.297677   2431.047773   3477.592887   4073.677753
1.125884   218.690790   2433.380133   3509.986256   4058.454394
1.132134   219.827157   2540.131751   3308.622519   4009.095865
1.138384   221.792591   2505.959987   3638.248298   3965.519835
1.144634   220.376687   2618.948736   3793.808401   4675.461005
1.150884   225.228128   2470.116354   3752.998122   4421.402180
1.157134   233.332900   2373.277607   3568.382996   4196.654887
1.163384   230.356367   2365.003914   3607.178610   4076.691529
1.169634   224.710639   2350.962673   3571.615077   4083.148402
1.175884   219.162624   2378.896830   3429.230744   4098.758719
1.182134   216.241996   2421.627815   3410.734446   4043.169612
1.188384   216.947795   2407.589388   3470.182126   4108.388517
1.194634   225.549334   2393.301661   3432.448650   4134.964012
1.200884   234.481790   2362.736258   3443.540281   3936.217522
1.207134   249.607613   2323.778086   3341.229978   3903.257159
1.213384   304.525805   2299.898380   3282.168988   3891.202169
1.219634   288.055223   2350.057339   3362.426066   3901.564553
1.225884   265.723852   2313.810861   3354.855608   4494.368176
1.232134   400.345649   2351.150063   3313.424885   4319.564108
1.238384   503.873360   2423.706514   3318.567379   4579.179079
1.244634   607.079069   2443.197884   2499.237938   3430.540546
1.250884   658.694241   2293.662519   3293.153259   3699.976939
1.257134   642.220090   2239.717798   2922.793200   3358.486034
1.263384   640.055107   2132.471765   2971.828378   3442.345438
1.269634   654.348200   2143.505015   3141.268510   4539.290359
1.275884   701.568070   2110.030663   3230.471984   4656.305909
1.282134   699.317507   2017.092545   3328.040190   4064.412997
1.288384   655.719781   1990.606912   2886.023366   3712.881837
1.294634   695.200655   2036.027589   3363.406967   4317.990886
1.300884   813.602658   2076.067550   3406.303458   4365.106993
1.307134   1024.142258   2219.275409   3551.111784   4509.522639
1.313384   742.482844   1876.107096   2701.590160   3725.782133
1.319634   672.642372   1922.928410   2874.457648   3866.822884
1.325884   592.939860   1745.869244   2575.504907   3831.100461
1.332134   625.983599   1689.653413   2442.560971   3869.725982
1.338384   1043.924643   2186.796009   3418.118424   4609.656887
1.344634   596.253567   1776.438479   3153.090078   3928.521312
1.350884   598.969292   1809.756092   3080.424321   4238.635592
1.357134   736.429373   2243.864893   3439.393915   4483.151747
1.363384   499.089358   1755.340846   2956.725772   3768.891302
1.369634   503.819632   1785.822254   3273.369284   4334.174271
1.375884   1003.135837   2036.662710   3289.032800   4372.878301
1.382134   580.698880   1940.727173   3160.878361   4263.872455
1.388384   497.875830   1957.058718   3161.133341   4335.888892
1.394634   1440.606359   2770.626060   3960.612567   5179.252600
1.400884   1328.612325   2164.393919   3326.553688   4360.575739
1.407134   868.296050   2099.135967   3207.629404   4342.819371
1.413384   519.558717   1693.889748   2826.353374   4137.252230
1.419634   485.555333   1788.896394   2814.691117   3865.997575
1.425884   1460.548677   2582.732407   3779.985924   5045.321504
