Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027175   329.134261   1635.169483   2819.883156   3917.191024
0.033425   330.197431   1518.005239   2858.893579   4178.802290
0.039675   329.579877   912.868148   2369.688483   3791.077580
0.045925   333.350193   676.617681   2132.736744   3729.953700
0.052175   315.576180   703.944211   2116.709520   3831.098145
0.058425   322.238488   677.936413   2175.592640   3826.084314
0.064675   356.991421   542.500278   2104.484297   3727.635252
0.070925   346.528197   622.240875   2127.869795   3784.585857
0.077175   357.601922   567.616452   2141.915713   3821.580558
0.083425   398.356549   2082.415183   3801.374030   --undefined--
0.089675   395.476427   448.023077   2091.184800   3753.050492
0.095925   392.206684   494.199051   2100.606832   3782.124885
0.102175   315.477706   473.856059   2034.500939   3691.060461
0.108425   447.407422   1963.197392   3864.058552   4493.692215
0.114675   436.149124   1889.950839   3818.546040   4633.421278
0.120925   431.501793   1668.281274   3850.529825   4545.981056
0.127175   339.639750   423.901756   2103.373269   3785.596184
0.133425   407.902994   446.095684   2261.019151   3751.766576
0.139675   348.571639   550.261191   2271.232645   3804.796462
0.145925   331.488695   616.283439   2335.345807   3694.547847
0.152175   328.833714   637.482923   2353.820614   3715.037673
0.158425   331.216911   648.766516   2371.196104   3771.392892
0.164675   331.427830   657.348272   2397.543564   3761.944810
0.170925   332.058008   664.369363   2592.937907   3743.055531
0.177175   331.029064   673.529672   2461.082375   3687.860841
0.183425   334.419042   686.658906   2698.831677   3766.318055
0.189675   336.676583   695.952922   2776.581170   3797.137467
0.195925   338.472710   708.732688   2601.630203   3680.918717
0.202175   341.508393   720.558266   2740.243120   3693.286907
0.208425   343.443692   727.439319   2709.383398   3663.895604
0.214675   345.979207   742.199059   2618.748024   3628.062513
0.220925   348.342250   745.540474   2733.018305   3610.475004
0.227175   347.174608   750.697786   2920.927314   3701.028616
0.233425   344.584776   757.069174   2797.085941   3704.813985
0.239675   344.723465   761.628533   2824.316932   3802.055559
0.245925   341.802008   760.846439   2639.909521   3740.819715
0.252175   340.456294   765.487622   2865.898487   3847.730128
0.258425   338.290090   769.614743   2920.966489   3812.286072
0.264675   338.489507   774.275401   2747.476577   3719.361595
0.270925   340.573155   776.035238   2761.812323   3721.875931
0.277175   344.523212   780.377716   2754.782943   3688.218178
0.283425   341.903273   781.116600   2590.330424   3675.211837
0.289675   341.893272   780.744600   2490.872738   3665.958007
0.295925   337.346545   768.530352   2710.465353   3653.365539
0.302175   336.826671   766.624953   2732.877480   3667.208790
0.308425   336.900674   765.920654   2740.841312   3652.147435
0.314675   339.755627   767.946813   2775.544367   3601.257154
0.320925   340.950841   759.704325   2824.439644   3706.651876
0.327175   345.847797   758.642019   2704.394456   3692.832476
0.333425   347.443535   750.477476   2665.899608   3668.432426
0.339675   339.715253   754.155165   2878.411812   3707.605867
0.345925   343.280740   762.027939   2856.419823   3668.605883
0.352175   352.572482   765.742545   2770.316382   3659.598579
0.358425   357.563183   770.970171   2731.263866   3656.246001
0.364675   360.342835   776.549556   2706.183596   3645.501882
0.370925   365.963287   772.876493   2711.369862   3642.653939
0.377175   378.977927   795.001354   2757.772785   3648.511394
0.383425   379.087229   807.418004   2758.777080   3641.561171
0.389675   375.477531   811.919207   2691.984192   3639.442253
0.395925   386.106463   830.064190   2824.549205   3613.587227
0.402175   395.530292   828.110372   2995.923028   3580.674031
0.408425   393.200464   833.435279   2623.471603   3621.853848
0.414675   399.190691   858.183942   2747.531709   3647.423347
0.420925   403.620347   861.188555   2874.627627   3743.335779
0.427175   408.482825   859.463811   3036.897672   3736.239236
0.433425   406.765560   862.581312   2948.237465   3670.997634
0.439675   411.910278   883.993703   2941.297890   3688.810111
0.445925   416.151968   907.283300   2880.138050   3649.001316
0.452175   424.044524   924.599628   2971.168926   3633.343031
0.458425   432.246338   936.661150   3138.339529   3705.125876
0.464675   425.355313   943.818052   2907.849139   3662.584840
0.470925   427.849837   949.145261   2931.980548   3668.273563
0.477175   428.285346   944.820206   2821.020511   3670.722616
0.483425   441.014199   952.739556   2954.389383   3679.949936
0.489675   445.986206   961.910288   2931.998396   3664.690313
0.495925   442.212605   965.927200   2818.004222   3655.874078
0.502175   437.131288   965.915957   2802.779710   3663.005659
0.508425   438.826648   966.552419   2858.152028   3652.348157
0.514675   434.901568   959.544049   2745.018728   3650.742668
0.520925   441.330101   960.547933   2956.203038   3667.330505
0.527175   455.773714   967.022184   3022.139195   3658.744948
0.533425   443.922004   960.566888   2916.566364   3661.616782
0.539675   442.410401   958.627624   2803.013902   3646.237943
0.545925   448.344336   963.438196   2888.487071   3655.054765
0.552175   452.495010   971.610633   2891.863533   3661.310368
0.558425   451.758903   971.244143   2915.427323   3647.975830
0.564675   448.097439   962.399786   2894.056476   3659.244415
0.570925   461.055203   966.345532   2883.590931   3681.706481
0.577175   471.541405   966.182613   2931.365959   3691.723931
0.583425   459.720498   958.327533   3018.988732   3656.748270
0.589675   452.397680   954.683254   2949.808112   3648.893877
0.595925   461.053683   957.118361   2963.808879   3678.202933
0.602175   464.497551   961.523213   2953.371179   3676.862150
0.608425   460.479590   960.036471   2938.972767   3646.957380
0.614675   461.758902   962.561191   2877.310983   3654.139215
0.620925   452.579807   963.857073   2801.247808   3654.107779
0.627175   453.357960   963.795061   2812.206599   3651.809027
0.633425   455.778085   965.322733   2800.941054   3664.447159
0.639675   468.304868   974.607602   2790.719780   3643.523629
0.645925   467.986542   972.107069   2846.139802   3657.716544
0.652175   460.248991   963.333690   2861.738440   3663.738571
0.658425   458.864997   963.026613   2820.599745   3650.075070
0.664675   460.080258   964.732871   2818.852505   3668.058900
0.670925   460.231897   966.545686   2756.644436   3650.944570
