Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026832   618.093678   1860.398418   2809.422931   3811.735035
0.033082   757.566133   1768.730417   2156.595815   3650.457519
0.039332   1270.870856   2206.617843   3518.042276   4491.000482
0.045582   1155.459170   2428.711513   3787.188037   4255.666790
0.051832   336.435085   1491.824955   3339.106984   3717.232746
0.058082   322.021927   1090.672798   2858.459214   3806.149626
0.064332   320.931222   1034.407112   2886.644001   3770.953873
0.070582   307.723385   1046.488650   2479.805729   3557.890865
0.076832   295.185873   999.686322   2631.959163   3517.507451
0.083082   281.050618   970.361702   2685.795112   3519.565209
0.089332   264.202060   967.414872   2412.281595   3512.583265
0.095582   253.604630   964.410177   2336.144428   3495.956020
0.101832   273.635408   1002.424501   2243.953369   3508.687762
0.108082   283.740281   1011.151291   2329.893504   3610.649551
0.114332   282.860690   1002.838660   2402.562252   3634.977729
0.120582   276.105436   996.925286   2222.688254   3492.793867
0.126832   269.771000   976.699852   2444.032333   3515.712712
0.133082   269.387444   974.327593   2621.068840   3553.243954
0.139332   260.370110   995.330803   2610.231543   3526.952131
0.145582   249.257992   1005.773263   2639.961044   3655.300107
0.151832   252.050507   1015.936463   2763.066083   3890.047330
0.158082   253.294775   1021.352500   2638.771165   3523.507638
0.164332   254.779279   1027.182019   2665.510937   3612.810092
0.170582   255.079977   1027.751117   2740.406685   3800.787873
0.176832   255.281909   1026.316701   2833.004728   3767.731927
0.183082   261.001105   1032.404201   2903.936610   3433.374741
0.189332   270.234430   1035.303975   2633.622300   3465.248927
0.195582   278.180310   1035.457582   2673.573089   3337.809067
0.201832   284.093535   1031.293975   2541.882455   3426.008439
0.208082   290.286705   1038.612955   2440.406017   3461.337314
0.214332   297.060934   1036.129422   2529.500899   3551.812729
0.220582   300.075352   1029.014730   2437.798881   3526.074691
0.226832   301.649709   1031.723524   2432.002736   3545.619813
0.233082   301.646651   1028.295716   2399.411494   3587.424427
0.239332   301.161174   1038.669328   2516.161796   3656.836588
0.245582   299.156858   1033.732025   2516.769351   3558.261147
0.251832   296.479493   1026.794705   2503.279984   3423.171326
0.258082   293.258308   1024.039126   2696.134097   3415.714246
0.264332   292.773357   1024.266584   2563.106246   3443.152992
0.270582   292.399376   1012.963164   2441.892937   3401.230888
0.276832   289.788178   1010.090983   2533.766196   3388.992420
0.283082   288.965886   999.088531   2664.021823   3358.981273
0.289332   289.575209   999.516500   2833.385834   3339.726974
0.295582   286.163336   1000.600255   2804.857473   3471.554741
0.301832   280.720787   1005.486639   2686.577310   3602.298971
0.308082   277.109559   1009.795254   2819.445172   3445.000371
0.314332   274.851103   1007.297940   2824.555017   3411.855718
0.320582   271.277318   1006.473175   2683.911341   3415.733983
0.326832   269.716439   1009.026118   2600.906905   3394.436180
0.333082   269.018818   1014.290733   2843.948242   3437.782541
0.339332   267.945785   1013.389763   2764.378666   3365.275195
0.345582   267.489102   1014.848472   2510.682494   3362.469500
0.351832   265.729875   1012.898913   2455.223548   3410.421186
0.358082   263.128809   1015.549834   3080.535785   3198.761836
0.364332   260.491251   1011.512412   2959.989295   4101.718411
0.370582   259.120687   1008.650774   2941.176562   3877.038913
0.376832   258.200341   1006.279624   2998.114744   4020.674073
0.383082   257.615095   1005.968803   2864.700933   3964.171222
0.389332   257.288473   1002.207122   3047.856368   3592.294980
0.395582   255.864557   1010.478062   2933.988295   3853.346696
0.401832   255.613207   1002.253039   2735.048210   3561.011897
0.408082   256.595254   1008.877505   2575.138666   3470.664758
0.414332   257.229954   1018.984960   2652.656375   3442.588621
0.420582   257.335085   1021.669596   2781.390962   3380.197333
0.426832   259.316143   1021.998972   2792.706543   3420.492755
0.433082   260.463789   1017.809537   2771.404107   3473.899310
0.439332   263.484717   1020.277514   2823.898168   3365.547919
0.445582   266.872282   1025.680768   2973.648559   3279.916130
0.451832   270.782043   1021.931665   3118.698682   3250.806368
0.458082   275.415732   1036.077449   2985.070207   3594.897889
