Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.037612   284.326267   2034.726666   2741.994628   3823.680706
0.043862   260.254270   1984.105427   2600.200873   3624.441600
0.050112   258.826936   1949.935768   2360.242842   3540.935549
0.056362   243.313887   1715.834999   2180.678099   3449.784780
0.062612   226.818449   1816.767417   2263.422628   3480.123552
0.068862   228.259304   2039.764850   2050.356740   3431.435320
0.075112   229.730286   1779.879748   2197.790879   3468.489220
0.081362   227.674551   1829.988995   2227.011227   3515.334318
0.087612   225.188854   1891.202690   2237.306167   3532.796494
0.093862   224.143968   1906.277400   2258.224567   3551.922459
0.100112   224.123894   1879.389170   2314.959788   3560.748807
0.106362   223.643028   1858.535569   2337.984913   3524.267857
0.112612   223.277555   1869.626384   2320.237941   3552.422465
0.118862   222.575192   1883.390287   2310.070286   3804.497970
0.125112   222.558042   1883.874196   2346.416807   4127.879881
0.131362   222.436117   1882.871326   2346.889193   3847.656908
0.137612   222.675981   1886.659788   2360.201264   3685.226586
0.143862   222.267409   1864.667912   2322.376730   3487.501728
0.150112   222.180564   1851.429335   2334.447005   3449.061616
0.156362   222.427024   1801.353998   2332.952787   3531.738262
0.162612   222.547199   1776.561670   2325.508779   3498.575209
0.168862   222.967737   1782.602760   2298.427610   3495.862824
0.175112   224.176370   1855.496009   2286.711235   3517.673292
0.181362   224.143004   1799.086348   2349.413418   3442.271514
0.187612   224.260374   1760.950597   2382.917919   3377.217420
0.193862   224.604244   1801.589624   2384.042693   3373.797576
0.200112   224.721642   1762.803601   2386.617851   3355.786260
0.206362   224.685887   1759.092285   2378.853638   3358.897969
0.212612   224.438915   1773.754592   2358.831324   3354.958771
0.218862   224.570911   1826.340450   2339.932527   3230.421443
0.225112   224.346844   1833.814320   2322.920318   3292.563811
0.231362   224.438988   1836.718290   2319.229772   3316.559860
0.237612   224.789987   1867.743010   2319.951711   3361.128327
0.243862   224.797749   1792.594513   2314.232709   3312.900893
0.250112   224.441621   1837.202468   2326.257432   3368.891587
0.256362   223.869813   1687.206352   2329.139300   3315.321252
0.262612   223.942854   1693.855083   2332.304034   3300.727722
0.268862   223.858559   1843.339561   2328.793296   3386.512559
0.275112   223.570749   1719.637735   2348.009774   3399.445696
0.281362   223.106389   1758.701300   2319.016840   3341.132445
0.287612   222.797887   1797.571785   2316.660602   3278.618851
0.293862   222.882466   1797.111033   2317.829147   3349.001306
0.300112   222.672247   1686.308705   2325.103640   3397.152381
0.306362   223.038674   1763.229542   2314.772892   3331.469938
0.312612   222.119473   1809.767834   2342.222832   3349.489728
0.318862   222.240625   1799.911703   2328.648485   3368.428645
0.325112   222.536547   1890.670653   2331.895952   3322.872732
0.331362   222.642271   1904.417834   2350.926148   3309.381420
0.337612   222.092306   1919.840593   2361.555701   3318.761436
0.343862   221.399706   1889.757887   2323.824221   3413.863662
0.350112   221.543265   1855.968043   2355.659825   3399.426111
0.356362   221.595459   1796.067195   2329.120416   3403.406428
0.362612   221.192670   1789.623802   2319.919530   3435.511249
0.368862   221.520735   1833.871784   2327.244665   3497.264791
0.375112   222.373817   1823.573938   2315.237769   3398.433647
0.381362   222.258569   1781.826010   2310.812629   3334.353606
0.387612   222.988768   1796.966030   2306.212426   3331.669746
0.393862   222.472026   1762.314848   2331.533094   3363.886193
0.400112   222.653336   1656.592164   2325.836520   3360.022504
0.406362   222.939731   1676.378807   2326.255679   3395.786944
0.412612   222.907697   1733.276456   2333.524660   3423.752516
0.418862   223.656336   1782.328378   2323.883992   3407.317197
0.425112   224.025841   1745.999007   2373.155996   3443.436462
0.431362   225.756081   1718.227422   2372.136876   3493.506382
0.437612   226.086294   1726.604008   2368.050662   3586.273362
0.443862   225.183535   1659.095842   2390.613274   3449.658635
0.450112   226.180156   1715.756369   2401.864019   3379.593826
0.456362   226.769825   1772.734288   2394.687598   3405.572353
0.462612   226.809208   1730.781285   2379.082154   3421.738185
0.468862   226.334272   1743.206519   2465.238484   3462.187554
0.475112   225.589731   1829.656214   2428.285400   3506.140310
0.481362   225.615141   1842.559425   2427.761957   3404.669614
0.487612   226.077645   1748.605010   2402.288031   3453.475690
0.493862   225.671051   1736.032603   2392.716865   3471.110990
0.500112   225.875307   1726.795592   2372.746330   3405.979360
0.506362   225.802271   1780.007715   2364.252605   3433.107683
0.512612   227.012901   1725.119483   2378.763935   3481.164985
0.518862   226.642436   1671.354981   2407.836976   3544.188051
0.525112   226.997403   1684.040214   2416.872968   3397.157342
0.531362   226.850875   1699.730635   2419.110704   3360.010864
0.537612   226.259665   1753.917488   2376.224222   3464.732669
0.543862   224.981820   1704.575845   2301.205666   3463.077767
0.550112   224.883935   1674.569057   2324.499750   3494.800926
0.556362   224.682328   1698.488378   2342.354003   3489.166948
0.562612   224.728132   1732.815671   2359.500850   3450.669949
0.568862   224.914931   1728.139685   2341.255489   3388.918882
